"numero_dpe","date_derniere_modification_dpe","date_visite_diagnostiqueur","date_etablissement_dpe","date_reception_dpe","date_fin_validite_dpe","numero_dpe_remplace","numero_dpe_immeuble_associe","id_rnb","provenance_id_rnb","numero_rpls_logement","numero_immatriculation_copropriete","modele_dpe","version_dpe","methode_application_dpe","etiquette_dpe","etiquette_ges","type_batiment","annee_construction","periode_construction","type_installation_chauffage","type_installation_ecs","hauteur_sous_plafond","nombre_appartement","nombre_niveau_immeuble","nombre_niveau_logement","typologie_logement","appartement_non_visite","surface_habitable_immeuble","surface_habitable_logement","surface_tertiaire_immeuble","classe_inertie_batiment","classe_altitude","zone_climatique","adresse_ban","numero_voie_ban","nom_rue_ban","nom_commune_ban","code_postal_ban","code_insee_ban","code_departement_ban","code_region_ban","identifiant_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","score_ban","statut_geocodage","adresse_brut","nom_commune_brut","code_postal_brut","numero_etage_appartement","position_logement_dans_immeuble","nom_residence","complement_adresse_batiment","complement_adresse_logement","indicateur_confort_ete","protection_solaire_exterieure","logement_traversant","presence_brasseur_air","inertie_lourde","isolation_toiture","deperditions_enveloppe","deperditions_ponts_thermiques","deperditions_murs","deperditions_planchers_hauts","deperditions_planchers_bas","deperditions_portes","deperditions_baies_vitrees","deperditions_renouvellement_air","qualite_isolation_enveloppe","qualite_isolation_murs","qualite_isolation_plancher_haut_comble_amenage","qualite_isolation_plancher_haut_comble_perdu","qualite_isolation_plancher_haut_toit_terrasse","qualite_isolation_plancher bas","qualite_isolation_menuiseries","ubat_w_par_m2_k","besoin_chauffage","besoin_ecs","besoin_refroidissement","apport_interne_saison_chauffe","apport_interne_saison_froide","apport_solaire_saison_chauffe","apport_solaire_saison_froide","conso_5_usages_ep","conso_5_usages_par_m2_ep","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","conso_5 usages_ef","conso_5 usages_par_m2_ef","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","emission_ges_5_usages","emission_ges_5_usages par_m2","emission_ges_chauffage","emission_ges_ecs","emission_ges_refroidissement","emission_ges_eclairage","emission_ges_auxiliaires","type_energie_n1","conso_5 usages_ef_energie_n1","conso_chauffage_ef_energie_n1","conso_ecs_ef_energie_n1","cout_total_5_usages_energie_n1","cout_chauffage_energie_n1","cout_ecs_energie_n1","emission_ges_5_usages_energie_n1","emission_ges_chauffage_energie_n1","emission_ges_ecs_energie_n1","type_energie_n2","conso_5 usages_ef_energie_n2","conso_chauffage_ef_energie_n2","conso_ecs_ef_energie_n2","cout_total_5_usages_energie_n2","cout_chauffage_energie_n2","cout_ecs_energie_n2","emission_ges_5_usages_energie_n2","emission_ges_chauffage_energie_n2","emission_ges_ecs_energie_n2","type_energie_n3","conso_5_usages_ef_energie_n3","conso_chauffage_ef_energie_n3","conso_ecs_ef_energie_n3","cout_total_5_usages energie_n3","cout_chauffage_energie_n3","cout_ecs_energie_n3","emission_ges_5_usages_energie_n3","emission_ges_chauffage_energie_n3","emission_ges_ecs_energie_n3","cout_total_5_usages","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_energie_principale_chauffage","type_generateur_chauffage_principal","type_installation_chauffage_n1","type_emetteur_installation_chauffage_n1","configuration_installation_chauffage_n1","description_installation_chauffage_n1","conso_chauffage_installation_chauffage_n1","surface_chauffee_installation_chauffage_n1","facteur_couverture_solaire_installation_chauffage_n1","facteur_couverture_solaire_saisi_installation_chauffage_n1","type_generateur_n1_installation_n1","type_energie_generateur_n1_installation_n1","usage_generateur_n1_installation_n1","description_generateur_chauffage_n1_installation_n1","conso_chauffage_generateur_n1_installation_n1","type_generateur_n2_installation_n1","type_energie_generateur_n2_installation_n1","usage_generateur_n2_installation_n1","description_generateur_chauffage_n2_installation_n1","conso_chauffage_generateur_n2_installation_n1","type_installation_chauffage_n2","type_emetteur_installation_chauffage_n2","configuration_installation_chauffage_n2","description_installation_chauffage_n2","conso_chauffage_installation_chauffage_n2","surface_chauffee_installation_chauffage_n2","facteur_couverture_solaire_installation_chauffage_n2","facteur_couverture_solaire_saisi_installation_chauffage_n2","type_generateur_n1_installation_n2","type_energie_generateur_n1_installation_n2","usage_generateur_n1_installation_n2","description_generateur_chauffage_n1_installation_n2","conso_chauffage_generateur_n1_installation_n2","type_generateur_n2_installation_n2","type_energie_generateur_n2_installation_n2","usage_generateur_n2_installation_n2","description_generateur_chauffage_n2_installation_n2","conso_chauffage_generateur_n2_installation_n2","type_energie_principale_ecs","type_generateur_chauffage_principal_ecs","besoin_ecs_batiment","besoin_ecs_logement","type_installation_ecs_n1","configuration_installation_ecs_n1","description_installation_ecs_n1","conso_ef_installation_ecs_n1"," nombre_logements_desservis_par_installation_ecs_n1","surface_habitable_desservie_par_installation_ecs_n1","type_installation_solaire_n1","production_ecs_solaire_installation_n1","facteur_couverture_solaire_n1","facteur_couverture_solaire_saisi_n1","type_generateur_n1_ecs_n1","type_energie_generateur_n1_ecs_n1","usage_generateur_n1_ecs_n1","description_generateur_n1_ecs_n1","volume_stockage_generateur_n1_ecs_n1","cop_generateur_n1_ecs_n1","conso_ef_generateur_n1_ecs_n1","date_installation_generateur_n1_ecs_n1","type_generateur_n2_ecs_n1","type_energie_generateur_n2_ecs_n1","usage_generateur_n2_ecs_n1","description_generateur_n2_ecs_n1","volume_stockage_generateur_n2_ecs_n1","cop_generateur_n2_ecs_n1","conso_ef_generateur_n2_ecs_n1","date_installation_generateur_n2_ecs_n1","type_ventilation","surface_ventilee","ventilation_posterieure_2012","type_generateur_froid","type_energie_climatisation","periode_installation_generateur_froid","description_generateur_froid","surface_climatisee","conso_refroidissement_annuel","categorie_enr","systeme_production_electricite_origine_renouvelable","presence_production_pv","surface_totale_capteurs_pv","nombre_module","production_electricite_pv_kwhep_par_an","electricite_pv_autoconsommee"
"2434E3181687A","2025-04-29","2024-09-11","2024-09-12","2024-09-13","2034-09-11",,,,,,,"DPE 3CL 2021 méthode logement",2.4,"dpe maison individuelle","C","C","maison",2010,"2006-2012",,,2.5,,,2,,,,61.5,,"Lourde","inférieur à 400m","H3","540 Avenue Ingarrigues 34490 Lignan-sur-Orb","540","Avenue Ingarrigues","Lignan-sur-Orb","34490","34140","34","76","34140_0125_00540",714299.2,6253156.66,0.81,"adresse non géocodée ban car aucune correspondance trouvée","540 avenue INGARRIGUE","LIGNAN-SUR-ORB",34490,,,,,,"insuffisant",0,0,0,1,1,132.3,40.7,17.6,8.4,9.3,11.6,18.2,26.5,"insuffisante","bonne",,,"bonne","bonne","insuffisante",0.91,3027.2,877.3,0,1400711.3,0,1100212.9,0,6107.2,99.3,4444.3,69,0,268.4,1325.5,5206.3,84.7,4444.3,69,0,116.7,576.3,1069.5,17.3,1008.9,15.7,0,8.1,36.9,"Gaz naturel",4513.3,4444.3,69,592,583,9,1024.5,1008.9,15.7,"Électricité",693,0,0,241,0,0,44.9,0,0,,,,,,,,,,,833,583,9,0,41,200,"Gaz naturel","Chaudière gaz basse température 2001-2015","installation individuelle","Radiateur bitube sans robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage simple","Chauffage sans solaire",4444.3,61.5,,,"Chaudière gaz basse température 2001-2015","Gaz naturel","chauffage + ecs","Chaudière basse température",4444.3,,,,,,,,,,,,,,,,,,,,,,,,"Gaz naturel","Chaudière gaz basse température 2001-2015",,,"installation individuelle","Un seul système d'ECS avec solaire","Chaudière basse température Gaz naturel avec installation solaire complémentaire",69,1,61.5,"Chauffage + ECS solaire",3379675.9,1,,"Chaudière gaz basse température 2001-2015","Gaz naturel","chauffage + ecs","Chaudière basse température",300,,69,,,,,,,,,,,,0,,,,,,,,,,,,0,
"2495E2987501R","2025-04-29","2024-08-26","2024-08-26","2024-08-28","2034-08-25",,,"69D7N94CAMDW","Reprise RNB",,,"DPE 3CL 2021 méthode logement",2.4,"dpe appartement individuel","C","C","appartement",2017,"2013-2021","individuel","individuel",2.5,,,4,,,3109.5,69,,"Très lourde","inférieur à 400m","H1a","69 Rue d’Ermont 95210 Saint-Gratien","69","Rue d’Ermont","Saint-Gratien","95210","95555","95","11","95555_0340_00069",647337.0625,6874810,0.76,"adresse géocodée ban à l'adresse","69 Rue d' Ermont","Saint-Gratien",95210,2,,,"69","Face","bon",0,1,0,1,,69.4,34.8,15,0,0,2.3,17.3,56.4,"insuffisante","très bonne",,,,,"bonne",1.07,4708.6,1276.4,0,2205972.3,0,1068937.3,0,7636,110.6,5077.3,1673.6,0,300.1,585,7135.7,103.4,5077.3,1673.6,0,130.5,254.4,1558,22.5,1152.5,379.9,0,9,16.3,"Gaz naturel",6750.9,5077.3,1673.6,0,0,0,1532.4,1152.5,379.9,"Électricité",384.8,0,0,133.6,0,0,25.3,0,0,,,,,,,,,,,956,619,204,0,45,88,"Gaz naturel","Chaudière gaz à condensation après 2015","installation individuelle","Radiateur monotube avec robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage simple","Installation de chauffage sans solaire (Gaz naturel)",5077.3,69,,,"Chaudière gaz à condensation après 2015","Gaz naturel","chauffage","Chaudière gaz",5077.3,,,,,,,,,,,,,,,,,,,,,,,,"Gaz naturel","Chaudière gaz à condensation après 2015",,,"installation individuelle","Un seul système d'ECS sans solaire","Système ECS (Gaz naturel)",1673.6,1,69,"Non affecté",,,,"Chaudière gaz à condensation après 2015","Gaz naturel","ecs","Chaudière gaz",0,,1673.6,"A partir de 2015",,,,,,,,,,,0,,,,,,,,,,,,0,
"2251E0516330W","2024-02-06","2022-03-14","2022-03-14","2022-03-15","2032-03-13",,,,,,,"DPE 3CL 2021 méthode logement",2,"dpe appartement individuel","D","D","appartement",1945,"avant 1948","individuel","individuel",2.9,1,1,1,,0,69,69,,"Moyenne","inférieur à 400m","H1b","69 Rue Clovis 51100 Reims","69","Rue Clovis","Reims","51100","51454","51","44","51454_2070_00069",775018.33,6905927.16,0.79,"adresse non géocodée ban car aucune correspondance trouvée","69 RUE CLOVIS","REIMS",51100,,,,,,"moyen",1,1,0,0,0,229.9,10.8,114.5,0,0,2.1,38.1,64.5,"insuffisante","insuffisante",,,,"très bonne","moyenne",1.99,10433.6,1293.8,0,2085680,0,1615505,0,14431.6,209.1,12005.8,1693.2,0,288.9,443.6,14017.6,203.2,12005.8,1693.2,0,125.6,192.9,3105,45,2725.3,384.4,0,8.7,12.3,"Gaz naturel",13699.1,12005.8,1693.2,1125,986,139,3109.7,2725.3,384.4,"Électricité",318.5,0,0,92,0,0,21,0,0,,,,,,,,,,,1217,986,139,0,36,56,"Gaz naturel","Chaudière gaz à condensation après 2015","installation individuelle","Radiateur bitube sans robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C)","Installation de chauffage simple","Emission n°1",12005.8,69,,,"Chaudière gaz à condensation après 2015","Gaz naturel","chauffage + ecs","Chaudière gaz condensation depuis 2016",12005.8,,,,,,,,,,,,,,,,,,,,,,,,"Gaz naturel","Chaudière gaz à condensation après 2015",,,"installation individuelle","Un seul système d'ECS sans solaire","Générateur mixte (chauffage + ecs)",1693.2,1,69,"Non affecté",,,,"Chaudière gaz à condensation après 2015","Gaz naturel","chauffage + ecs",,0,,1693.2,"A partir de 2015",,,,,,,,,"Ventilation par entrées d'air hautes et basses",69,0,,,,,,,,"Solaire Photovoltaïque",0,,,0,
"2513E0605010H","2025-04-29","2025-02-17","2025-02-21","2025-02-22","2035-02-20",,,,,,,"DPE 3CL 2021 méthode logement",2.4,"dpe appartement individuel","C","A","appartement",,"avant 1948","individuel","individuel",2.3,1,,1,,,,13.3,,"Légère","inférieur à 400m","H3","4 Rue sainte cecile 13005 Marseille","4","Rue sainte cecile","Marseille","13005","13205","13","93","13205_8512_00004",894113.91,6246016.22,0.73,"adresse géocodée ban à l'adresse","4 rue Sainte Cécile","MARSEILLE 05, France",13005,0,,,"R1651","3ème étage","moyen",0,0,0,0,0,12.1,0,1.1,0,0,0,2,9,"bonne","très bonne",,"très bonne",,"très bonne","très bonne",0.54,69.1,585.7,0,469.7,0,72.2,0,2686.4,201,158.7,2337.7,0,58,132,1168,87,69,1016.4,0,25.2,57.4,76.9,5,5.5,66.1,0,1.7,3.7,"Électricité",1168,69,1016.4,379.4,22.4,330.1,76.9,5.5,66.1,,,,,,,,,,,,,,,,,,,,,379.4,22.4,330.1,0,8.2,18.6,"Électricité","Panneau rayonnant électrique NFC, NF** et NF***","installation individuelle","Panneau rayonnant NFC, NF** et NF***","Installation de chauffage simple","Panneau rayonnant électrique NFC, NF** et NF*** (système individuel)",69,13.3,,,"Panneau rayonnant électrique NFC, NF** et NF***","Électricité","chauffage","Electrique - Panneau rayonnant électrique NFC, NF** et NF***",69,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Autres ou inconnue",,,"installation individuelle","Un seul système d'ECS sans solaire","Ballon électrique à accumulation vertical (autres catégorie ou inconnue), contenance ballon 75 L",1016.4,1,13.3,"Non affecté",,,,"Ballon électrique à accumulation vertical Autres ou inconnue","Électricité","ecs","Electrique - Ballon électrique à accumulation vertical (autres catégorie ou inconnue)",75,,1016.4,,,,,,,,,,,,0,,,,,,,,,,,,0,
"2406E3170302B","2025-04-29","2024-09-10","2024-09-10","2024-09-12","2034-09-09",,,"NCFYG8B1JCW4","Reprise RNB",,,"DPE 3CL 2021 méthode logement",2.4,"dpe appartement individuel","B","A","appartement",2016,"2013-2021","individuel","individuel",2.6,,,1,,,,31.2,,"Légère","inférieur à 400m","H3","77 Avenue de la Côte d'Azur 06190 Roquebrune-Cap-Martin","77","Avenue de la Côte d'Azur","Roquebrune-Cap-Martin","06190","06104","06","93","06104_0300_00077",1058553.31,6305957.35,0.96,"adresse non géocodée ban car aucune correspondance trouvée","77, AVENUE DE LA COTE D'AZUR","ROQUEBRUNE CAP MARTIN",6190,,,,"RESIDENCE VILLA CLOTILDE",,"moyen",1,1,1,0,1,29.7,0,6.9,0,0,0,5.5,17.2,"très bonne","très bonne",,,"très bonne","très bonne","bonne",0.4,226.2,770.3,419.1,887594.5,108395.8,865168.9,280860.4,3445.2,110.5,158.7,2793.3,121.8,136,235.4,1497.9,48.1,69,1214.5,52.9,59.1,102.4,98.5,3.1,0.2,3.1,0.1,0.1,0,"Électricité",1342.6,69,1214.5,395,20,358,3.4,0.2,3.1,,,,,,,,,,,,,,,,,,,,,442,20,358,16,17,442,"Électricité","PAC air/air installée à partir de 2015","installation individuelle","Soufflage d'air chaud sans réseau de distribution (ventiloconvecteur éléctrique)","Installation de chauffage simple","Installation de chauffage seul classique",69,31.2,,,"PAC air/air installée à partir de 2015","Électricité","chauffage","Générateur 1",69,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Catégorie C ou 3 étoiles",,,"installation individuelle","Un seul système d'ECS sans solaire","Installation ECS 1",1214.5,1,31.2,"Non affecté",,,,"Ballon électrique à accumulation vertical Catégorie C ou 3 étoiles","Électricité","ecs","Générateur Ecs 1",150,,1214.5,,,,,,,,,,,,0,"PAC air/air installée à partir de 2015",,"A partir de 2015","Climatisation 1",31.2,52.9,"pompe à chaleur",,,,,0,
"2113E0169864T","2024-12-12","2021-08-11","2021-08-11","2021-08-12","2031-08-10",,,"VVAZMAVA3NJ6","Reprise RNB",,,"DPE 3CL 2021 méthode logement",1,"dpe maison individuelle","D","B","maison",1960,"1948-1974",,,2.5,,,1,,,,66.7,,"Lourde","inférieur à 400m","H3","26a Avenue des Bastides 13740 Le Rove","26a","Avenue des Bastides","Le Rove","13740","13088","13","93","13088_0550_00026_a",883801.56,6255102.28,0.96,"adresse non géocodée ban car aucune correspondance trouvée","26A AVENUE DES BASTIDES","LE ROVE",13740,,,,,,"insuffisant",1,0,0,,0,256.3,30.2,55.4,27.1,37.2,0,11,95.4,"moyenne","insuffisante",,,,"moyenne","très bonne",0.74,2461.6,930.8,0,1507594.4,0,2311071.2,0,3801,57,50.3,2.4,0,126.5,3801,2447.8,36.7,2252.2,69,0,126.5,0,122,1.8,2.7,0.1,0,0.1,1.8,"Électricité",3801,2252.2,69,424,353,25,1.8,2.7,0.1,,,,,,,,,,,,,,,,,,,,,424,353,25,0,46,424,"Électricité","PAC air/air installée entre 2008 et 2014","installation individuelle","Soufflage d'air chaud (air soufflé) avec distribution par réseau aéraulique","Installation de chauffage avec insert ou poêle bois en appoint",,2252.2,66.7,,,"PAC air/air installée entre 2008 et 2014","Électricité","chauffage",,2252.2,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Autres ou inconnue",,,"installation individuelle","Un seul système d'ECS sans solaire",,69,1,66.7,"Non affecté",1,,,"Ballon électrique à accumulation vertical Autres ou inconnue","Électricité","ecs",,100,,69,,,,,,,,,,"Ventilation par ouverture des fenêtres",66.7,0,,,,,,,,"Eolien + Cogénération",0,,,0,0
"2513E2433474V","2025-07-24","2025-03-27","2025-06-16","2025-07-24","2035-06-15",,,"2HCKDVST1TZN","Logiciel",,"AG3354305","DPE 3CL 2021 méthode logement",2.4,"dpe immeuble collectif","E","B","immeuble",1987,"1983-1988","individuel","individuel",2.1,8,4,,,,637,,,"Lourde","inférieur à 400m","H3","Rue des Vignerons 13800 Istres",,"Rue des Vignerons","Istres","13800","13047","13","93","13047_1116",860296.81,6270555.56,0.96,"adresse géocodée ban à l'adresse","Rue des Vignerons","Istres",13800,,,"Le Logis de Grignan",,,,,,,,,2339.5,316.4,1350.4,52.3,68.5,50.4,81.9,419.5,"insuffisante","insuffisante",,"insuffisante",,"bonne","très bonne",1.98,71676.1,9093.7,0,14511624.3,0,5124327.2,0,188143.1,295,140454.1,35168.3,0,2780,9740.8,81801.3,128.4,61067,15290.6,0,1208.7,4235.1,6172.6,9.6,4824.3,993.9,0,83.4,271,"Électricité",81801.3,61067,15290.6,17088,12757,3194,6172.6,4824.3,993.9,,,,,,,,,,,,,,,,,,,,,17088,12757,3194,0,252,885,"Électricité","Convecteur électrique NFC, NF** et NF***","installation individuelle","Convecteur électrique NFC, NF** et NF***","Installation de chauffage simple","Appartement 69 Chauffage",61067,637,,,"Convecteur électrique NFC, NF** et NF***","Électricité","chauffage","convecteur électrique nfc, nf** et nf***",7633.4,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Catégorie B ou 2 étoiles",,,"installation individuelle","Un seul système d'ECS sans solaire","Appartement 69 ECS",15290.6,8,79.6,"Non affecté",,,,"Ballon électrique à accumulation vertical Catégorie B ou 2 étoiles","Électricité","ecs","ballon électrique à accumulation vertical catégorie b ou 2 étoiles",194.4,,1911.3,,,,,,,,,,,,0,,,,,,,,,,,,0,
"2394E3957282W","2024-12-12","2023-11-19","2023-11-19","2023-11-21","2033-11-18",,,"KX2H62PXN3WW","Reprise RNB",,,"DPE 3CL 2021 méthode logement",2.3,"dpe appartement individuel","E","E","appartement",1970,"1948-1974","collectif","collectif",2.5,7,,1,,,510,69,,"Légère","inférieur à 400m","H1a","69 Avenue des Charmes 94120 Fontenay-sous-Bois","69","Avenue des Charmes","Fontenay-sous-Bois","94120","94033","94","11","94033_1465_00069",659804.9,6860789.02,0.72,"adresse géocodée ban à l'adresse","69 avenue des Charmes","FONTENAY-SOUS-BOIS",94120,2,,"Immeuble",,"A droite en sortant de l'ascenseur","moyen",1,1,0,0,0,271.1,14.5,138.6,0,0,0,69,49,"insuffisante","insuffisante",,,,,"insuffisante",2.74,11355,1276.2,0,2205231.6,0,4062047.7,0,21190.4,307.1,16536.8,3723,0,299.9,630.7,20664.4,299.5,16536.8,3723,0,130.4,274.2,4625.8,67,3753.8,845.1,0,9,17.6,"Gaz naturel",20259.8,16536.8,3723,1305,1065,240,4599,3753.8,845.1,"Électricité",404.6,0,0,118,0,0,26.5,0,0,,,,,,,,,,,1423,1065,240,0,38,80,"Gaz naturel","Chaudière gaz standard 2001-2015","installation collective","Plancher chauffant sur réseau collectif eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage simple","Chauffage sans solaire",16536.8,69,,,"Chaudière gaz standard 2001-2015","Gaz naturel","chauffage + ecs","Chaudière standard",16536.8,,,,,,,,,,,,,,,,,,,,,,,,"Gaz naturel","Chaudière gaz standard 2001-2015",,,"installation collective","Un seul système d'ECS sans solaire","Chaudière standard",3723,1,69,"Non affecté",,,,"Chaudière gaz standard 2001-2015","Gaz naturel","chauffage + ecs","Chaudière standard",67.6,,3723,,,,,,,,,,,,0,,,,,,,,,,,,0,
"2369E1913929K","2024-12-30","2023-06-07","2023-06-07","2023-06-09","2033-06-06",,,"RXQ31HN6PHPR","Reprise RNB",,,"DPE 3CL 2021 méthode logement",2.2,"dpe appartement individuel","C","C","appartement",2013,"2013-2021","collectif","collectif",2.5,1,,1,,,1767,40.6,,"Moyenne","inférieur à 400m","H1c","69 Rue Pierre Delore 69008 Lyon","69","Rue Pierre Delore","Lyon","69008","69388","69","84","69388_5270_00069",844572.47,6516437.58,0.98,"adresse non géocodée ban car aucune correspondance trouvée","69 Rue Pierre Delore","LYON",69008,,,,,"N°Lot : 51","moyen",1,1,1,0,1,30.4,0,6.5,0,0,0,7.5,16.5,"insuffisante","bonne",,,,"très bonne","très bonne",0.55,503.9,1012.6,0,1325384.6,0,1026069.6,0,5055.6,124.3,1078.3,3204.2,0,173.8,599.3,4618.6,113.6,1078.3,3204.2,0,75.6,0.7,994.1,24.4,2.1,6.2,0,0.1,0.3,"Gaz naturel",4282.4,1078.3,3204.2,274,69,205,8.3,2.1,6.2,"Électricité",75.6,0,0,22,0,0,0.1,0,0,,,,,,,,,,,371,69,205,0,22,371,"Gaz naturel","Chaudière gaz à condensation 2001-2015","installation collective","Radiateur bitube avec robinet thermostatique sur réseau collectif eau chaude basse ou moyenne température(inf 65°C)","Installation de chauffage simple","Installation de chauffage seul classique",1078.3,40.6,,,"Chaudière gaz à condensation 2001-2015","Gaz naturel","chauffage + ecs","Générateur 1",1078.3,,,,,,,,,,,,,,,,,,,,,,,,"Gaz naturel","Chaudière gaz à condensation 2001-2015",,,"installation collective","Un seul système d'ECS sans solaire","Installation ECS 1",3204.2,1,40.6,"Non affecté",,,,"Chaudière gaz à condensation 2001-2015","Gaz naturel","chauffage + ecs","Générateur Ecs 1",1000,,3204.2,,,,,,,,,,,,0,,,,,,,,,,,,0,
"2201E3008671F","2024-02-06","2022-12-04","2022-12-04","2022-12-12","2032-12-03",,,,,,,"DPE 3CL 2021 méthode logement",2.2,"dpe appartement individuel","D","B","appartement",1920,"avant 1948","individuel","individuel",2.5,,,2,,,,69,,"Lourde","inférieur à 400m","H1c","69 Rue de l'Eglise 01600 Parcieux","69","Rue de l'Eglise","Parcieux","01600","01285","01","84","01285_0070_00069",841434.91,6536675.72,0.95,"adresse non géocodée ban car aucune correspondance trouvée","69, RUE DE L'EGLISE","PARCIEUX",1600,,,,,,"moyen",1,0,0,1,1,136.6,7.4,23.8,7,21.6,3.2,20.2,53.3,"bonne","bonne","bonne",,,"moyenne","bonne",0.56,4159.8,1253.8,0,1983642.4,0,2313184.1,0,14707,213.1,8953.5,4537.4,0,295.1,920.9,6394.3,92.7,3892.8,1972.8,0,128.3,400.4,470.6,6.8,307.5,128.2,0,8.9,25.6,"Électricité",6394.3,3892.8,1972.8,1100,670,339,470.2,307.5,128.2,,,,,,,,,,,,,,,,,,,,,1100,670,339,0,22,69,"Électricité","radiateur électrique NFC, NF** et NF***","installation individuelle","radiateur électrique NFC, NF** et NF***","Installation de chauffage simple","Chauffage sans solaire",3892.8,69,,,"radiateur électrique NFC, NF** et NF***","Électricité","chauffage","Radiateur électrique NFC",3892.8,,,,,,,,,,,,,,,,,,,,,,,,"Électricité","Ballon électrique à accumulation vertical Catégorie B ou 2 étoiles",,,"installation individuelle","Un seul système d'ECS sans solaire","Chauffe-eau vertical",1972.8,1,69,"Non affecté",,,,"Ballon électrique à accumulation vertical Catégorie B ou 2 étoiles","Électricité","ecs","Chauffe-eau vertical",150,,1972.8,,,,,,,,,,,,0,,,,,,,,,,,,0,
